id,training_data_type,question,content
402271-sql,sql,How many orders are delayed due to material unavailability?,"SELECT Product_Form AS PRODUCT_FORM, COUNT(DISTINCT PART_ID) AS ORDER_COUNT, ROUND(SUM(DISTINCT Order_Qty), 0) AS ORDER_QTY FROM [GEN_AI_NEW].[dbo].[late_order_reasons] WHERE REASON_CATEGORY = 'RM Material Shortage' AND Product_Form = 'S_PPGLCF' GROUP BY Product_Form;"
1840458-doc,documentation,,"The following columns are in the udt_allocation_detail_report table in the GEN_AI_NEW database:

|     | TABLE_CATALOG   | TABLE_SCHEMA   | TABLE_NAME                   | COLUMN_NAME             | DATA_TYPE   |
|----:|:----------------|:---------------|:-----------------------------|:------------------------|:------------|
|  96 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | DEMAND_GROUP            | varchar     |
|  97 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | PLANNING_ITEM           | varchar     |
|  98 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | DEMAND_LOCATION         | varchar     |
|  99 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | FORECAST_DATE           | date        |
| 100 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | INV_AT_PLANT            | float       |
| 101 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | INV_AT_NONPLANT         | float       |
| 102 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | ALLOCATION_DEMAND_GROUP | varchar     |
| 103 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | ALLOCATION_ITEM         | varchar     |
| 104 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | PLANT                   | varchar     |
| 105 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | AVAIL_DATE              | date        |
| 106 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | ALLOCATION_QUANTITY     | float       |
| 107 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | SUPPLY                  | float       |
| 108 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | INV_QUANTITY_PLANT      | float       |
| 109 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | INV_QUANTITY_NONPLANT   | float       |
| 110 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | CONSTRAINT_FORECAST     | float       |
| 111 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | PRODUCTION_ALLOCATIONS  | float       |
| 112 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | CONSUMED_QUANTITY       | float       |
| 113 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | FREE_ALLOCATIONS        | float       |
| 114 | GEN_AI_NEW      | dbo            | udt_allocation_detail_report | Order                   | float       |"
401636-sql,sql,"Which sales orders have experienced OTIF (On-Time, In-Full) failures and are impacted the most?","SELECT [SALES_ORDER_NUMBER] AS ""SALES ORDER NUMBER"", [LINE_ITEM_NUMBER] AS ""LINE ITEM NUMBER"", [REGION] AS ""REGION"", [SEGMENT] AS ""SEGMENT"", [PRODUCT_FORM] AS ""PRODUCT FORM"", AVG([PROMISED_TARGET_QUANTITY]) AS ""PROMISED TARGET QUANTITY"", AVG([ACTUAL_INVOICE_QUANTITY]) AS ""ACTUAL INVOICE QUANTITY"" FROM SALES_ORDER_STATUS GROUP BY [SALES_ORDER_NUMBER], [LINE_ITEM_NUMBER], [REGION], [SEGMENT], [PRODUCT_FORM];"
394109-sql,sql,Can you provide the exact bottleneck resources and its utilization for producing these products?,"select DISTINCT udc_product_group As Product_Group, loc As Location,res As Resource, CONCAT(ROUND( percentage_utilized,0),'%') As Utilised_Percentage from plant_percentage where percentage_utilized >99"
394099-sql,sql,What is my finalized unconstrained forecast for all months to be fed into the Master Planning process?,"select CONVERT ( varchar,MONTH, 32) AS Month , ROUND(SUM(TOTAL_ORDER),0) AS Unconstraint_Forecast  from udt_order_fulfillment where simulation_name ='MONTHLY_MAX_DEMSAT' GROUP BY MONTH;"
401634-sql,sql,"What is the current status of production, payment, and delivery for all promised orders?","SELECT [SALES_ORDER_NUMBER] AS ""SALES ORDER NUMBER"", [LINE_ITEM_NUMBER] AS ""LINE ITEM NUMBER"", [SOLD_TO_PARTY] AS ""SOLD TO PARTY"", [DEMAND_GROUP] AS ""DEMAND GROUP"", [PRODUCT_FORM] AS ""PRODUCT FORM"", ITEM AS ""ITEM"", PLANT AS ""PLANT"", [PLANT_NAME] AS ""PLANT NAME"", MAX([PRODUCTION_TARGET_DATE]) AS ""PRODUCTION TARGET DATE"", MAX([ACTUAL_PRODUCTION_DATE]) AS ""ACTUAL PRODUCTION DATE"", AVG([TOTAL_PRODUCTION_QUANTITY]) AS ""TOTAL PRODUCTION QUANTITY"", AVG([PROMISED_TARGET_QUANTITY]) AS ""PROMISED TARGET QUANTITY"", MAX([DO_TARGET_DATE]) AS ""DO TARGET DATE"", MAX([ACTUAL_DO_CREATION_DATE]) AS ""ACTUAL DO CREATION DATE"", MAX([DELIVERY_TARGET_DATE]) AS ""DELIVERY TARGET DATE"", MAX([ACTUAL_DELIVERY_DATE]) AS ""ACTUAL DELIVERY DATE"", AVG([PROMISED_TARGET_QUANTITY]) AS ""PROMISED TARGET QUANTITY"", AVG([ACTUAL_INVOICE_QUANTITY]) AS ""ACTUAL INVOICE QUANTITY"" FROM SALES_ORDER_STATUS GROUP BY [SALES_ORDER_NUMBER], [LINE_ITEM_NUMBER], [SOLD_TO_PARTY], [DEMAND_GROUP], [PRODUCT_FORM], ITEM, PLANT, [PLANT_NAME];"
289542-ddl,ddl,,"
CREATE TABLE GEN_AI_NEW.dbo.Inv_Stock_Clear (
    DC varchar,
    Avg_Sales float,
    Sold_To_Party varchar,
    Party_Code varchar,
    Ship_To_Party varchar,
    Customer varchar,
    Strategy varchar,
    Material varchar,
    Sales_Office varchar,
    FORM varchar,
    JSW_Grade varchar,
    GRADE_GRP varchar,
    THICK float,
    WIDTH float,
    UQ float,
    IQ float,
    BQ float,
    SQ float,
    Usage_Decision varchar,
    NCO_Declared varchar,
    Aging float,
    LENGTH float,
    Order_Status varchar,
    S_ALUMINIUM_PCT float,
    S_BORON_PCT float,
    S_CARBON_PCT float,
    S_CHROMIUM_PCT float,
    S_COPPER_PCT float,
    S_MANGANESE_PCT float,
    S_MOLYBDENUM_PCT float,
    S_NICKEL_PCT float,
    S_NIOBIUM_PCT float,
    S_PHOSPHORUS_PCT float,
    S_SILICON_PCT float,
    S_SULPHUR_PCT float,
    S_TITANIUM_PCT float,
    S_VANADIUM_PCT float
);



"
400100-sql,sql,Which products and customers should we focus on to achieve better forecast accuracy?,"select Product,Customer as Region,CONVERT ( varchar,startdate, 32) as Month, round (actuals,0) as Sales,round (forecast,0) as Forecast, accuracy As Forecast_Accuracy,Total_Percent_of_Sales_Contribution from Statistical_Data where startdate='01-05-2024' and Customer not in ('Domestic','Exports') order by 4 desc;"
400096-sql,sql,Should I update my forecast numbers in S&OE to account for orders on hand?,"select distinct Product,Customer, CONVERT ( varchar,MONTH, 32) AS Month, round(Sales,0) as Sales, round(PH_Forecast,0) as PH_Forecast, round (SNOE_Forecast_Addition,0) as SNOE_Forecast_Addition, round(Remaining_Per_Week_Qty,0) as Remaining_Per_Week_Qty from SNOP_Value_Add_RCA where month='01-07-2024'order by 4 desc;"
394103-sql,sql,"What is the demand fulfillment by product group, market segment, customer segment, and priority for each month?","SELECT CONVERT(varchar, MONTH, 32) AS Month, PRODUCT_GRP AS Product_Group, MARKET_SEGMENT, CUSTOMER_SEGMENT, PRIORITY, ROUND(SUM(TOTAL_ORDER), 0) AS Total_Orders, ROUND(SUM(TOTAL_ALLOCATION), 0) AS Total_Met_Orders, CONCAT(ROUND((SUM(TOTAL_ALLOCATION) / SUM(TOTAL_ORDER)) * 100, 0), '%') AS Fill_Rate FROM udt_order_fulfillment WHERE simulation_name = 'MONTHLY_MAX_DEMSAT' GROUP BY MONTH, PRODUCT_GRP, MARKET_SEGMENT, CUSTOMER_SEGMENT, PRIORITY;"
